STATUS,UNIVERSITY NAME,FACULTY NAME,LEVEL TYPE,YEARS,BRANCH TYPE,CATEGORY NAME,SERIES NAME,SUB SERIES NAME,COLOR,PROD SUM PRICE,PROD TOTAL AMT,INSTALL NUM,INSTALL SUM FINAL,HP VAT SUM
Overdue 1,มหาวิทยาลัยราชภัฏพระนคร,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยศิลปากร วิทยาเขตพระราชวังสนามจันทร์,เภสัชศาสตร,ปริญญาตรี,2,2.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยขอนแก่น,เทคโนโลยี,ปริญญาตรี,3,1.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,White,16900,16900,24,957.67,22984.08
Overdue 1,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คหกรรม,ปริญญาตรี,3,2.0,Smart Phone,iPhone 14 Plus,128GB,Purple,36200,36200,24,2051.33,49231.92
Overdue 1,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,1,2.0,Smart Phone,iPhone 14 Plus,128GB,Purple,36200,36200,24,2051.33,49231.92
Overdue 1,มหาวิทยาลัยแม่ฟ้าหลวง เชียงราย,การจัดการ,ปริญญาตรี,2,1.0,Smart Phone,iPhone 13,128GB,Pink,26900,26900,24,1345,32280
Overdue 1,มหาวิทยาลัยอุบลราชธานี,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14,128GB,Blue,29500,29500,24,1671.67,40120.08
Overdue 1,มหาวิทยาลัยนเรศวร,นิติศาสตร์​,ปริญญาตรี,1,3.0,Smart Phone,iPhone 13,128GB,Starlight,26900,26900,24,793.33,19039.92
Wait Welcome Call,มหาวิทยาลัยภาคตะวันออกเฉียงเหนือ,บริหารธุรกิจ,ปริญญาตรี,3,2.0,Smart Phone,iPhone 13,128GB,Green,26900,26900,24,1524.33,36583.92
Overdue 1,มหาวิทยาลัยราชภัฏอุบลราชธานี,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,2,2.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,White,19200,19200,12,1538.34,18460.08
Overdue 1,มหาวิทยาลัยราชภัฏมหาสารคาม,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,3,2.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,White,16900,16900,18,974.73,17545.14
Overdue 1,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,ศึกษาศาสตร์/ครุศาสตร์,ปริญญาตรี,1,3.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Purple,27900,32490,24,1841.1,44186.4
Overdue 1,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14 Plus,128GB,Starlight,36200,36200,18,2478.7,44616.6
Overdue 1,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,256GB,Gold,47690,47690,24,2333.34,56000.16
Wait Welcome Call,มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตหาดใหญ่,การจัดการ,ปริญญาตรี,4,2.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,18,1908.37,34350.66
Overdue 1,วิทยาลัยพณิชยการบางนา,โลจิสติกส์/การบิน,เทียบเท่าปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยราชภัฏอุดรธานี,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,White,16900,16900,24,957.67,22984.08
Overdue 1,มหาวิทยาลัยขอนแก่น,บริหารธุรกิจ,ปริญญาตรี,2,1.0,Tablet,iPad 10.9-inch Wi-Fi 2022 (10th Gen),256GB,Blue,22700,25290,12,2198.08,26376.96
Overdue 1,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา,วิจิตรศิลป์/มัณฑนศิลป์/จิตรกรรม/สถาปัตยกรรม/โบราณคดี,ปริญญาตรี,3,2.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,White,16900,16900,24,957.67,22984.08
